timestamp,location_id,traffic_volume,avg_vehicle_speed,vehicle_count_cars,vehicle_count_trucks,vehicle_count_bikes,weather_condition,temperature,humidity,accident_reported,signal_status,hour,day_of_week,month,is_weekend,is_peak_hour,time_of_day,location_name,road_type,zone,road_capacity,free_flow_speed,total_vehicle_count,volume_capacity_ratio,speed_ratio,volume_score,speed_score,accident_score,weather_score,peak_hour_score,signal_score,congestion_score
2024-01-01 00:00:00,4,504,53.124161879202674,142,24,44,Cloudy,33.33438747854922,36.39069822190809,0,Red,0,0,1,0,0,night,Magneto Mall,Urban,Commercial,900,40,210,0.56,1.328104046980067,20,0,0,1,0,5,26
2024-01-01 00:01:00,5,209,44.94785004124701,862,50,23,Cloudy,17.926830469092273,37.64092658255312,0,Green,0,0,1,0,0,night,Jaistambh Chowk,CBD,Business District,700,35,935,0.2985714285714286,1.2842242868927716,5,0,0,1,0,0,6
2024-01-01 00:02:00,3,572,63.17922899663182,317,12,10,Windy,33.48337539357468,84.26261001965956,1,Red,0,0,1,0,0,night,Swami Vivekananda Airport,Highway,Airport,1800,70,339,0.31777777777777777,0.9025604142375975,10,0,10,2,0,5,27
2024-01-01 00:03:00,5,699,42.269696887144505,709,43,21,Sunny,19.21294144595952,61.5509781758288,0,Yellow,0,0,1,0,0,night,Jaistambh Chowk,CBD,Business District,700,35,773,0.9985714285714286,1.2077056253469858,40,0,0,0,0,2,42
2024-01-01 00:04:00,5,639,72.18579060090265,594,34,14,Cloudy,11.349244035684794,77.49450578357947,0,Red,0,0,1,0,0,night,Jaistambh Chowk,CBD,Business District,700,35,642,0.9128571428571428,2.0624511600257898,40,0,0,1,0,5,46
2024-01-01 00:05:00,2,126,63.82978165752741,503,54,9,Foggy,29.074234717725584,36.917475593016015,1,Red,0,0,1,0,0,night,AIIMS Raipur,Arterial,Hospital,1000,50,566,0.126,1.2765956331505484,5,0,10,5,0,5,25
2024-01-01 00:06:00,3,558,58.86279026377529,184,86,40,Windy,27.58770360220852,85.65856233051571,0,Red,0,0,1,0,0,night,Swami Vivekananda Airport,Highway,Airport,1800,70,310,0.31,0.8408970037682184,10,8,0,2,0,5,25
2024-01-01 00:07:00,3,490,67.77443573377126,718,8,26,Foggy,24.94777480658331,79.26852548983261,0,Yellow,0,0,1,0,0,night,Swami Vivekananda Airport,Highway,Airport,1800,70,752,0.2722222222222222,0.9682062247681608,5,0,0,5,0,2,12
2024-01-01 00:08:00,3,303,65.24138209570293,402,1,8,Foggy,22.24734360960435,43.485848686521365,0,Yellow,0,0,1,0,0,night,Swami Vivekananda Airport,Highway,Airport,1800,70,411,0.16833333333333333,0.9320197442243275,5,0,0,5,0,2,12
2024-01-01 00:09:00,5,970,22.1563204952932,228,60,27,Cloudy,10.804131758065784,82.45093399763721,0,Yellow,0,0,1,0,0,night,Jaistambh Chowk,CBD,Business District,700,35,315,1.3857142857142857,0.6330377284369486,40,16,0,1,0,2,59
2024-01-01 00:10:00,4,819,43.68406123068969,758,40,0,Foggy,25.61493128800386,45.80656556380856,0,Green,0,0,1,0,0,night,Magneto Mall,Urban,Commercial,900,40,798,0.91,1.0921015307672424,40,0,0,5,0,0,45
2024-01-01 00:11:00,3,369,75.84843783898938,451,43,16,Sunny,20.420865380569843,42.32039276034339,0,Red,0,0,1,0,0,night,Swami Vivekananda Airport,Highway,Airport,1800,70,510,0.205,1.0835491119855627,5,0,0,0,0,5,10
2024-01-01 00:12:00,5,852,27.54345613953357,408,63,30,Foggy,24.005235068523625,45.85463620873274,0,Yellow,0,0,1,0,0,night,Jaistambh Chowk,CBD,Business District,700,35,501,1.217142857142857,0.7869558897009592,40,8,0,5,0,2,55
2024-01-01 00:13:00,2,312,64.22579302592308,579,30,43,Cloudy,20.733033549190907,84.59730379635656,1,Green,0,0,1,0,0,night,AIIMS Raipur,Arterial,Hospital,1000,50,652,0.312,1.2845158605184617,10,0,10,1,0,0,21
2024-01-01 00:14:00,4,646,78.47550868011979,243,46,9,Foggy,34.151403319129976,84.93551913089217,0,Yellow,0,0,1,0,0,night,Magneto Mall,Urban,Commercial,900,40,298,0.7177777777777777,1.9618877170029947,30,0,0,5,0,2,37
2024-01-01 00:15:00,2,707,23.1319177426983,22,1,36,Windy,25.102722528771174,49.73974648127813,0,Red,0,0,1,0,0,night,AIIMS Raipur,Arterial,Hospital,1000,50,59,0.707,0.462638354853966,30,26,0,2,0,5,63
2024-01-01 00:16:00,4,884,60.93163283759663,391,95,28,Windy,28.73090826506168,72.32605110567307,0,Green,0,0,1,0,0,night,Magneto Mall,Urban,Commercial,900,40,514,0.9822222222222222,1.5232908209399159,40,0,0,2,0,0,42
2024-01-01 00:17:00,5,603,48.08924847806182,706,81,17,Windy,33.40867368677708,70.544715309851,0,Yellow,0,0,1,0,0,night,Jaistambh Chowk,CBD,Business District,700,35,804,0.8614285714285714,1.3739785279446235,30,0,0,2,0,2,34
2024-01-01 00:18:00,1,423,54.75051532248333,465,76,46,Rainy,24.78998307291849,78.3937579278242,0,Yellow,0,0,1,0,0,night,Raipur Railway Station,Commercial,Transit,1200,45,587,0.3525,1.2166781182774073,10,0,0,4,0,2,16
2024-01-01 00:19:00,4,686,25.12048018905949,630,68,37,Windy,10.301562945560018,47.790570008527865,0,Green,0,0,1,0,0,night,Magneto Mall,Urban,Commercial,900,40,735,0.7622222222222222,0.6280120047264872,30,16,0,2,0,0,48
2024-01-01 00:20:00,2,216,22.58041711201637,135,57,38,Windy,10.85729195776356,60.60831251462411,0,Green,0,0,1,0,0,night,AIIMS Raipur,Arterial,Hospital,1000,50,230,0.216,0.4516083422403274,5,26,0,2,0,0,33
2024-01-01 00:21:00,5,986,60.0119996330553,289,43,48,Rainy,27.558460852546546,70.06043706049721,0,Green,0,0,1,0,0,night,Jaistambh Chowk,CBD,Business District,700,35,380,1.4085714285714286,1.714628560944437,40,0,0,4,0,0,44
2024-01-01 00:22:00,4,802,69.39856578924307,466,73,5,Windy,16.97712840378209,31.57540912859436,0,Green,0,0,1,0,0,night,Magneto Mall,Urban,Commercial,900,40,544,0.8911111111111111,1.7349641447310766,30,0,0,2,0,0,32
2024-01-01 00:23:00,1,508,66.92092009597803,387,55,39,Cloudy,24.48449318369872,52.60432471985728,0,Green,0,0,1,0,0,night,Raipur Railway Station,Commercial,Transit,1200,45,481,0.42333333333333334,1.4871315576884008,10,0,0,1,0,0,11
2024-01-01 00:24:00,1,329,52.62834367197424,272,42,11,Windy,15.056929527266725,71.75330146071414,0,Yellow,0,0,1,0,0,night,Raipur Railway Station,Commercial,Transit,1200,45,325,0.27416666666666667,1.1695187482660943,5,0,0,2,0,2,9
2024-01-01 00:25:00,3,749,25.99200926817069,336,88,13,Windy,16.756221876542853,45.155705587148006,0,Green,0,0,1,0,0,night,Swami Vivekananda Airport,Highway,Airport,1800,70,437,0.4161111111111111,0.37131441811672417,10,35,0,2,0,0,47
2024-01-01 00:26:00,3,351,61.28266663016083,434,33,43,Rainy,22.616026398701884,87.46224642038923,0,Green,0,0,1,0,0,night,Swami Vivekananda Airport,Highway,Airport,1800,70,510,0.195,0.8754666661451548,5,8,0,4,0,0,17
2024-01-01 00:27:00,2,580,34.513333013248754,114,29,9,Cloudy,34.38923658390205,31.809682290410336,0,Red,0,0,1,0,0,night,AIIMS Raipur,Arterial,Hospital,1000,50,152,0.58,0.6902666602649751,20,16,0,1,0,5,42
2024-01-01 00:28:00,4,629,74.66412216604301,804,70,19,Foggy,25.406762230229788,87.48523125524537,0,Yellow,0,0,1,0,0,night,Magneto Mall,Urban,Commercial,900,40,893,0.6988888888888889,1.8666030541510754,20,0,0,5,0,2,27
2024-01-01 00:29:00,4,267,70.29592157274229,43,69,14,Sunny,33.40370261282558,43.005832080624,0,Red,0,0,1,0,0,night,Magneto Mall,Urban,Commercial,900,40,126,0.2966666666666667,1.757398039318557,5,0,0,0,0,5,10
2024-01-01 00:30:00,3,151,62.56297802524345,647,54,30,Cloudy,33.984496359673685,32.9293225155222,0,Yellow,0,0,1,0,0,night,Swami Vivekananda Airport,Highway,Airport,1800,70,731,0.08388888888888889,0.8937568289320493,5,8,0,1,0,2,16
2024-01-01 00:31:00,4,603,76.93075734986783,682,66,6,Foggy,15.202749910512686,47.54844199341345,0,Yellow,0,0,1,0,0,night,Magneto Mall,Urban,Commercial,900,40,754,0.67,1.9232689337466957,20,0,0,5,0,2,27
2024-01-01 00:32:00,4,337,21.88530929067637,869,12,40,Cloudy,17.77984006172361,77.17693843741353,0,Yellow,0,0,1,0,0,night,Magneto Mall,Urban,Commercial,900,40,921,0.37444444444444447,0.5471327322669093,10,26,0,1,0,2,39
2024-01-01 00:33:00,1,216,64.17202550364573,69,2,9,Foggy,29.249807030467604,75.1465203868832,0,Green,0,0,1,0,0,night,Raipur Railway Station,Commercial,Transit,1200,45,80,0.18,1.4260450111921272,5,0,0,5,0,0,10
2024-01-01 00:34:00,3,670,39.81456676018432,521,25,9,Foggy,31.6691000572836,42.53042498536752,0,Red,0,0,1,0,0,night,Swami Vivekananda Airport,Highway,Airport,1800,70,555,0.37222222222222223,0.5687795251454902,10,26,0,5,0,5,46
2024-01-01 00:35:00,5,85,74.36395314118192,737,56,47,Cloudy,22.98066860473819,41.80740801550797,0,Yellow,0,0,1,0,0,night,Jaistambh Chowk,CBD,Business District,700,35,840,0.12142857142857143,2.1246843754623406,5,0,0,1,0,2,8
2024-01-01 00:36:00,3,793,36.00051179971865,517,23,38,Rainy,34.83065168201373,68.55479494827244,0,Yellow,0,0,1,0,0,night,Swami Vivekananda Airport,Highway,Airport,1800,70,578,0.44055555555555553,0.5142930257102665,10,26,0,4,0,2,42
2024-01-01 00:37:00,5,790,63.491389958901024,354,52,27,Cloudy,10.289304968881757,57.48496138054383,0,Yellow,0,0,1,0,0,night,Jaistambh Chowk,CBD,Business District,700,35,433,1.1285714285714286,1.8140397131114578,40,0,0,1,0,2,43
2024-01-01 00:38:00,1,402,72.65882117904688,98,69,29,Cloudy,17.48981638963039,77.53739719985413,0,Red,0,0,1,0,0,night,Raipur Railway Station,Commercial,Transit,1200,45,196,0.335,1.6146404706454862,10,0,0,1,0,5,16
2024-01-01 00:39:00,2,725,22.499409102960943,601,42,36,Foggy,25.579043843614496,31.44796672155321,0,Yellow,0,0,1,0,0,night,AIIMS Raipur,Arterial,Hospital,1000,50,679,0.725,0.44998818205921887,30,35,0,5,0,2,72
2024-01-01 00:40:00,4,948,43.85885477552217,46,59,2,Sunny,21.732247773437077,66.62471164563426,0,Red,0,0,1,0,0,night,Magneto Mall,Urban,Commercial,900,40,107,1.0533333333333332,1.0964713693880541,40,0,0,0,0,5,45
2024-01-01 00:41:00,1,122,65.73854192131631,290,57,49,Foggy,12.91507416072002,73.84032073439255,0,Red,0,0,1,0,0,night,Raipur Railway Station,Commercial,Transit,1200,45,396,0.10166666666666667,1.4608564871403624,5,0,0,5,0,5,15
2024-01-01 00:42:00,4,697,47.295133370455225,581,48,42,Windy,19.19467713701409,89.60316672172014,0,Green,0,0,1,0,0,night,Magneto Mall,Urban,Commercial,900,40,671,0.7744444444444445,1.1823783342613807,30,0,0,2,0,0,32
2024-01-01 00:43:00,2,402,36.03515778761572,823,41,14,Cloudy,10.636178582375976,70.72690165421082,0,Yellow,0,0,1,0,0,night,AIIMS Raipur,Arterial,Hospital,1000,50,878,0.402,0.7207031557523144,10,16,0,1,0,2,29
2024-01-01 00:44:00,2,940,33.1883209293914,266,75,20,Cloudy,26.068651151881987,43.91070939299798,0,Yellow,0,0,1,0,0,night,AIIMS Raipur,Arterial,Hospital,1000,50,361,0.94,0.663766418587828,40,16,0,1,0,2,59
2024-01-01 00:45:00,1,119,27.89109601498268,795,99,36,Rainy,32.31856357490888,36.491171692802325,0,Red,0,0,1,0,0,night,Raipur Railway Station,Commercial,Transit,1200,45,930,0.09916666666666667,0.6198021336662818,5,16,0,4,0,5,30
2024-01-01 00:46:00,2,474,71.42777359137693,610,65,11,Foggy,32.12185309458647,68.45500647864452,0,Red,0,0,1,0,0,night,AIIMS Raipur,Arterial,Hospital,1000,50,686,0.474,1.4285554718275386,10,0,0,5,0,5,20
2024-01-01 00:47:00,5,757,54.52132419509336,406,10,3,Rainy,27.488611844138664,61.39098405109296,0,Green,0,0,1,0,0,night,Jaistambh Chowk,CBD,Business District,700,35,419,1.0814285714285714,1.55775211985981,40,0,0,4,0,0,44
2024-01-01 00:48:00,2,830,24.58309669948736,721,97,46,Cloudy,21.644254887448188,83.94871730670098,0,Yellow,0,0,1,0,0,night,AIIMS Raipur,Arterial,Hospital,1000,50,864,0.83,0.4916619339897472,30,26,0,1,0,2,59
2024-01-01 00:49:00,4,610,42.95481941423813,578,89,8,Foggy,22.800790467287243,73.5964812708765,0,Red,0,0,1,0,0,night,Magneto Mall,Urban,Commercial,900,40,675,0.6777777777777778,1.0738704853559533,20,0,0,5,0,5,30
2024-01-01 00:50:00,4,877,42.06401904830659,380,17,38,Foggy,13.422970599891572,60.58454700255724,0,Yellow,0,0,1,0,0,night,Magneto Mall,Urban,Commercial,900,40,435,0.9744444444444444,1.0516004762076647,40,0,0,5,0,2,47
2024-01-01 00:51:00,4,691,30.90435144256778,885,84,41,Windy,18.52542732798008,54.215368245908856,0,Yellow,0,0,1,0,0,night,Magneto Mall,Urban,Commercial,900,40,1010,0.7677777777777778,0.7726087860641945,30,8,0,2,0,2,42
2024-01-01 00:52:00,4,566,46.13045752833144,507,99,27,Windy,14.69320188745684,54.26248197424921,0,Yellow,0,0,1,0,0,night,Magneto Mall,Urban,Commercial,900,40,633,0.6288888888888889,1.153261438208286,20,0,0,2,0,2,24
